RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
150,Oronde Gadsden II   LAC,TE,14,—,—,9.6,3.6,2.4,11.8,29.4,18.7,11.8,4.3,6.1,BYE,3.7,1.7,10.1,1.7,12.2,9.1,127.1
151,Nick Folk   NYJ,K,16,10.0,6.0,10.0,11.0,7.0,12.0,7.0,12.0,BYE,9.0,2.0,5.0,11.0,4.0,11.0,6.0,4.0,7.9,127.0
152,Josh Downs   IND,WR,15,3.2,11.1,5.4,6.4,11.4,16.2,—,12.9,15.7,1.3,BYE,3.0,6.4,6.3,10.3,11.8,5.4,8.5,126.8
153,Zach Ertz   WAS,TE,13,11.6,18.4,6.8,6.1,0.0,16.3,12.7,5.6,8.6,9.4,8.2,BYE,20.6,2.1,—,—,—,9.7,126.4
154,Riley Patterson   MIA,K,16,0.0,11.0,3.0,10.0,7.0,10.0,6.0,10.0,8.0,7.0,11.0,BYE,14.0,13.0,5.0,3.0,8.0,7.9,126.0
155,Los Angeles Rams   LAR,DST,16,11.0,8.0,6.0,7.0,1.0,17.0,11.0,BYE,9.0,6.0,9.0,18.0,2.0,6.0,0.0,6.0,8.0,7.8,125.0
155,Minnesota Vikings   MIN,DST,16,5.0,5.0,30.0,4.0,3.0,BYE,3.0,0.0,9.0,1.0,3.0,1.0,9.0,18.0,2.0,11.0,21.0,7.8,125.0
155,Pittsburgh Steelers   PIT,DST,16,2.0,5.0,16.0,10.0,BYE,10.0,1.0,-4.0,18.0,5.0,21.0,10.0,5.0,4.0,7.0,5.0,10.0,7.8,125.0
158,Michael Penix Jr.   ATL,QB,9,24.0,5.3,5.8,19.7,BYE,14.6,12.2,—,22.7,11.0,7.9,—,—,—,—,—,—,13.7,123.3
159,Denver Broncos   DEN,DST,16,14.0,0.0,9.0,10.0,7.0,13.0,5.0,6.0,5.0,14.0,8.0,BYE,4.0,11.0,7.0,4.0,5.0,7.6,122.0
160,Chig Okonkwo   TEN,TE,16,4.9,7.5,11.6,1.4,8.8,10.6,0.0,9.3,3.0,BYE,8.6,7.0,6.9,4.0,7.3,16.4,14.5,7.6,121.8
161,Chuba Hubbard   CAR,RB,14,17.9,18.7,9.6,9.9,—,—,7.5,9.4,1.7,2.5,3.8,8.3,20.4,BYE,4.8,4.4,2.8,8.7,121.7
162,Chimere Dike   TEN,WR,16,0.9,2.8,3.5,-0.4,3.7,2.8,16.9,16.4,7.5,BYE,3.4,21.4,-0.1,13.4,5.0,13.0,10.2,7.5,120.4
162,Luther Burden III   CHI,WR,14,0.7,1.5,19.8,1.6,BYE,9.1,3.1,0.9,—,8.1,5.7,9.1,7.6,11.0,14.4,—,27.8,8.6,120.4
164,Tyler Allgeier   ATL,RB,16,2.4,15.0,1.4,11.1,BYE,10.8,1.6,9.4,0.6,17.7,9.6,5.9,13.5,8.7,1.8,8.3,2.3,7.5,120.1
165,Wil Lutz   DEN,K,16,8.0,4.0,9.0,4.0,9.0,9.0,5.0,9.0,4.0,4.0,18.0,BYE,9.0,6.0,4.0,10.0,8.0,7.5,120.0
166,Kayshon Boutte   NE,WR,13,16.3,8.6,4.8,2.8,7.3,26.3,13.5,16.5,0.0,—,—,3.5,13.5,BYE,4.0,2.6,—,9.2,119.7
167,Jordan Mason   MIN,RB,15,8.5,5.8,23.6,10.2,12.6,BYE,11.7,1.6,4.7,4.1,10.5,4.2,5.8,11.2,2.9,2.1,—,8.0,119.5
168,Jayden Higgins   HOU,WR,16,5.2,3.8,1.5,9.4,7.2,BYE,0.0,13.4,1.4,15.2,9.5,13.8,11.5,6.4,1.4,2.7,16.8,7.5,119.2
169,Chad Ryland   ARI,K,16,11.0,10.0,7.0,10.0,3.0,11.0,12.0,BYE,10.0,2.0,4.0,6.0,7.0,5.0,2.0,17.0,2.0,7.4,119.0
170,Aaron Jones Sr.   MIN,RB,12,15.7,2.3,—,—,—,BYE,—,5.0,11.8,15.9,11.1,8.7,4.5,7.6,9.5,11.3,15.3,9.9,118.7
171,Dalton Kincaid   BUF,TE,11,14.8,7.7,17.6,9.8,16.8,—,BYE,3.3,22.1,5.7,—,—,—,14.1,6.4,0.0,—,10.8,118.3
172,Joe Burrow   CIN,QB,7,8.8,7.0,—,—,—,—,—,—,—,BYE,—,—,19.2,25.4,7.5,29.0,20.4,16.8,117.3
172,Jayden Daniels   WAS,QB,7,20.1,19.7,—,—,17.1,22.6,17.7,—,16.2,—,—,BYE,—,3.7,—,—,—,16.8,117.3
174,Tucker Kraft   GB,TE,8,9.9,24.4,5.9,10.6,BYE,12.3,16.8,33.3,4.0,—,—,—,—,—,—,—,—,14.6,117.2
175,Jerry Jeudy   CLE,WR,16,11.6,9.1,2.7,7.8,3.5,9.3,3.7,0.0,BYE,19.8,5.1,2.9,5.6,16.6,4.2,4.2,10.4,7.3,116.5
176,J.K. Dobbins   DEN,RB,10,14.8,15.5,15.3,11.5,15.4,4.0,9.0,14.1,6.9,9.4,—,BYE,—,—,—,—,—,11.6,115.9
176,Kimani Vidal   LAC,RB,12,—,—,—,0.0,2.9,22.8,7.5,19.7,3.0,17.8,3.2,BYE,20.7,11.4,5.8,1.1,—,9.7,115.9
178,New England Patriots   NE,DST,16,7.0,13.0,2.0,11.0,8.0,5.0,19.0,11.0,1.0,2.0,5.0,10.0,11.0,BYE,-2.0,5.0,7.0,7.2,115.0
178,Blake Grupe   IND,K,15,7.0,3.0,7.0,9.0,16.0,16.0,2.0,4.0,4.0,5.0,BYE,4.0,—,7.0,15.0,11.0,5.0,7.7,115.0
180,Blake Corum   LAR,RB,16,2.6,10.4,5.3,3.6,1.3,2.3,5.3,BYE,5.8,5.6,1.5,2.4,14.1,26.1,13.1,13.1,1.8,7.1,114.3
181,Mack Hollins   NE,WR,15,1.3,7.8,6.7,7.4,0.0,4.8,7.3,15.9,2.9,16.6,10.4,5.0,5.3,BYE,8.1,13.9,—,7.6,113.4
182,T.J. Hockenson   MIN,TE,15,4.5,2.2,15.9,7.9,9.8,BYE,10.3,4.6,9.1,2.8,6.9,5.9,11.9,9.2,10.6,1.2,—,7.5,112.8
183,Cooper Kupp   SEA,WR,15,3.5,16.0,5.1,6.6,11.9,12.0,3.2,BYE,—,9.4,5.3,4.4,5.4,11.5,9.6,6.9,1.6,7.5,112.4
184,Cleveland Browns   CLE,DST,16,4.0,-1.0,13.0,1.0,7.0,0.0,25.0,9.0,BYE,5.0,17.0,16.0,1.0,2.0,2.0,2.0,9.0,7.0,112.0
185,Atlanta Falcons   ATL,DST,16,1.0,21.0,3.0,4.0,BYE,9.0,4.0,0.0,10.0,10.0,4.0,16.0,2.0,0.0,6.0,5.0,16.0,6.9,111.0
185,New Orleans Saints   NO,DST,16,8.0,5.0,-2.0,4.0,18.0,1.0,3.0,6.0,1.0,12.0,BYE,11.0,6.0,3.0,4.0,19.0,12.0,6.9,111.0
185,Jake Elliott   PHI,K,16,8.0,12.0,3.0,7.0,5.0,6.0,4.0,9.0,BYE,4.0,11.0,3.0,4.0,17.0,7.0,3.0,8.0,6.9,111.0
188,Colby Parkinson   LAR,TE,14,-0.6,—,0.0,3.7,0.0,—,7.7,BYE,3.0,14.1,9.4,14.1,6.7,12.2,24.5,4.1,11.3,7.9,110.2
189,Brandon McManus   GB,K,13,9.0,11.0,4.0,12.0,BYE,—,—,9.0,8.0,1.0,—,12.0,8.0,4.0,16.0,10.0,6.0,8.5,110.0
190,Xavier Worthy   KC,WR,14,0.0,—,—,17.1,11.1,10.6,7.8,10.3,6.0,BYE,5.5,9.9,11.4,8.5,5.5,6.1,0.1,7.9,109.9
191,Chicago Bears   CHI,DST,16,11.0,-4.0,11.0,10.0,BYE,9.0,13.0,1.0,5.0,7.0,5.0,6.0,5.0,2.0,18.0,5.0,5.0,6.8,109.0
191,Ryan Fitzgerald   CAR,K,16,5.0,4.0,15.0,1.0,10.0,14.0,7.0,4.0,5.0,1.0,10.0,3.0,7.0,BYE,6.0,13.0,4.0,6.8,109.0
193,Elic Ayomanor   TEN,WR,15,3.3,15.6,13.8,6.4,3.8,5.7,4.9,9.2,7.6,BYE,3.1,—,1.5,8.4,2.7,8.8,13.7,7.2,108.5
194,Sam LaPorta   DET,TE,9,13.9,5.6,7.3,6.9,20.2,16.5,4.5,BYE,21.7,10.3,—,—,—,—,—,—,—,11.9,106.9
195,Pat Freiermuth   PIT,TE,16,5.8,6.1,1.6,0.0,BYE,2.1,28.1,4.3,11.7,6.3,2.9,10.9,0.0,2.9,7.5,6.0,9.3,6.6,105.5
196,Buffalo Bills   BUF,DST,16,0.0,10.0,2.0,6.0,6.0,4.0,BYE,17.0,5.0,3.0,4.0,6.0,15.0,10.0,4.0,8.0,5.0,6.6,105.0
196,Matt Prater   BUF,K,14,12.0,14.0,8.0,7.0,9.0,2.0,BYE,12.0,4.0,1.0,8.0,8.0,8.0,7.0,5.0,—,—,7.5,105.0
198,Malik Washington   MIA,WR,16,4.9,9.5,6.2,4.1,4.0,6.3,8.0,13.6,7.1,9.3,7.2,BYE,7.0,4.0,2.0,10.2,1.5,6.6,104.9
199,Terry McLaurin   WAS,WR,9,4.7,9.8,10.4,—,—,—,—,14.4,—,—,—,BYE,22.6,7.1,15.9,8.3,11.3,11.6,104.5
200,Spencer Rattler   NO,QB,9,11.5,21.7,12.7,13.9,16.1,11.1,13.5,3.6,—,—,BYE,—,—,—,0.0,—,—,11.6,104.1
201,Los Angeles Chargers   LAC,DST,16,2.0,13.0,3.0,6.0,3.0,8.0,-3.0,11.0,5.0,15.0,-2.0,BYE,8.0,12.0,13.0,4.0,5.0,6.4,103.0
201,Andre Szmyt   CLE,K,16,5.0,5.0,9.0,4.0,5.0,11.0,7.0,1.0,BYE,9.0,11.0,8.0,0.0,5.0,5.0,9.0,9.0,6.4,103.0
203,Ryan Flournoy   DAL,WR,14,—,0.0,4.1,4.6,18.4,6.3,0.0,1.7,9.2,BYE,7.2,0.0,6.4,26.5,8.0,9.8,—,7.3,102.2
204,Tyjae Spears   TEN,RB,12,—,—,—,—,1.4,9.0,7.0,17.2,9.2,BYE,8.4,6.5,8.4,6.7,5.6,21.5,1.1,8.5,102.0
205,Brenton Strange   JAC,TE,11,9.9,4.7,12.1,10.5,3.2,—,—,BYE,—,—,—,14.3,13.5,5.7,3.6,14.9,8.4,9.2,100.8
206,Alvin Kamara   NO,RB,11,13.7,16.0,6.6,11.2,9.5,12.6,5.9,6.5,0.7,14.5,BYE,3.5,—,—,—,—,—,9.2,100.7
207,Indianapolis Colts   IND,DST,16,13.0,1.0,15.0,5.0,17.0,4.0,7.0,7.0,5.0,5.0,BYE,8.0,5.0,1.0,2.0,-1.0,6.0,6.3,100.0
208,Cade Otton   TB,TE,15,0.0,5.5,0.0,3.9,12.1,10.1,13.5,8.0,BYE,17.2,4.8,6.1,2.9,4.9,—,3.5,7.3,6.7,99.8
209,Garrett Wilson   NYJ,WR,7,22.5,9.0,24.4,20.2,19.1,4.3,—,—,BYE,0.0,—,—,—,—,—,—,—,14.2,99.5
210,Kirk Cousins   ATL,QB,9,—,—,1.2,—,BYE,—,—,7.1,—,—,2.1,15.5,13.4,4.5,26.9,18.6,9.1,10.9,98.3
211,Devin Singletary   NYG,RB,16,0.9,1.0,1.1,2.8,3.4,1.0,0.2,3.8,7.1,10.3,17.7,4.7,19.2,BYE,2.4,5.6,17.0,6.1,98.2
212,Miami Dolphins   MIA,DST,16,0.0,8.0,1.0,8.0,7.0,2.0,2.0,7.0,1.0,13.0,9.0,BYE,11.0,16.0,2.0,-2.0,12.0,6.1,97.0
213,Carolina Panthers   CAR,DST,16,2.0,3.0,22.0,-3.0,3.0,0.0,17.0,-2.0,9.0,5.0,2.0,7.0,13.0,BYE,6.0,5.0,7.0,6.0,96.0
214,Evan Engram   DEN,TE,15,5.1,2.2,—,6.9,13.3,9.9,9.2,7.6,0.0,3.2,7.3,BYE,13.9,2.8,2.2,5.6,6.1,6.4,95.3
215,Keon Coleman   BUF,WR,12,25.2,5.6,5.0,7.5,10.3,4.1,BYE,6.0,3.7,13.6,—,—,8.9,3.6,0.0,—,—,7.8,93.5
216,Jake Tonges   SF,TE,16,10.5,7.1,4.1,14.8,17.1,11.8,0.0,7.2,0.0,0.0,0.0,0.0,0.0,BYE,0.0,1.7,19.0,5.8,93.3
216,Dawson Knox   BUF,TE,16,4.0,3.9,0.0,0.0,3.5,8.9,BYE,2.5,4.0,6.7,3.3,4.7,5.8,17.3,18.7,2.0,8.0,5.8,93.3
218,Baltimore Ravens   BAL,DST,16,-3.0,15.0,-4.0,-3.0,-2.0,5.0,BYE,4.0,15.0,8.0,9.0,11.0,2.0,0.0,23.0,7.0,6.0,5.8,93.0
218,Detroit Lions   DET,DST,16,0.0,8.0,8.0,19.0,10.0,2.0,12.0,BYE,7.0,2.0,2.0,3.0,-1.0,10.0,0.0,4.0,7.0,5.8,93.0
220,Bam Knight   ARI,RB,12,—,0.0,—,0.0,9.4,12.4,9.4,BYE,6.7,4.3,14.5,13.2,16.8,6.4,-0.2,—,—,7.7,92.9
221,Jalen Nailor   MIN,WR,16,3.8,6.1,6.7,9.2,7.2,BYE,5.7,0.0,2.6,23.4,2.6,0.0,0.0,6.0,19.5,0.0,0.0,5.8,92.8
222,Kendrick Bourne   SF,WR,15,—,6.2,7.8,2.7,24.2,19.2,3.4,7.4,5.4,2.9,0.0,0.0,0.0,BYE,3.7,5.7,3.5,6.1,92.1
222,Michael Carter   ARI,RB,12,—,—,—,0.1,18.3,8.4,5.6,BYE,—,0.4,7.8,8.8,11.4,5.1,13.4,6.5,6.3,7.7,92.1
224,Tampa Bay Buccaneers   TB,DST,16,2.0,4.0,14.0,4.0,0.0,11.0,8.0,26.0,BYE,2.0,2.0,0.0,7.0,5.0,2.0,2.0,3.0,5.8,92.0
225,Sean Tucker   TB,RB,16,0.2,0.0,0.0,0.0,2.9,8.5,1.6,10.2,BYE,6.1,34.0,5.6,0.0,8.9,6.7,6.3,0.8,5.7,91.8
226,Gunnar Helm   TEN,TE,16,2.6,2.9,5.7,2.2,7.4,3.5,7.6,10.3,2.5,BYE,6.9,11.1,8.3,1.8,14.9,2.9,1.1,5.7,91.7
227,Matt Gay   SF,K,12,3.0,6.0,14.0,18.0,9.0,8.0,2.0,—,2.0,5.0,7.0,9.0,8.0,BYE,—,—,—,7.6,91.0
228,DeMario Douglas   NE,WR,16,8.2,1.8,2.7,0.0,3.7,16.1,4.7,5.7,20.0,5.4,6.1,6.1,6.3,BYE,0.5,1.6,2.0,5.7,90.9
229,Marvin Mims Jr.   DEN,WR,15,2.2,10.4,1.4,20.5,3.9,4.8,15.8,1.8,0.0,—,0.2,BYE,3.7,7.7,7.7,5.9,4.0,6.0,90.0
230,Shedeur Sanders   CLE,QB,7,—,—,—,—,—,—,—,—,BYE,—,2.5,11.3,10.6,34.5,6.5,13.2,11.4,12.8,89.9
231,Tez Johnson   TB,WR,15,0.0,—,0.0,2.3,10.1,11.5,15.8,9.3,BYE,20.2,1.6,12.3,1.5,0.0,0.0,0.9,3.9,6.0,89.4
231,Darius Slayton   NYG,WR,13,0.0,8.1,7.0,7.4,4.1,—,—,4.6,11.2,12.9,—,3.3,14.1,BYE,9.3,1.8,5.6,6.9,89.4
233,Tennessee Titans   TEN,DST,16,10.0,4.0,-4.0,2.0,15.0,5.0,4.0,-1.0,20.0,BYE,5.0,6.0,3.0,7.0,0.0,10.0,3.0,5.6,89.0
234,Mason Taylor   NYJ,TE,13,3.0,1.5,5.8,11.5,17.7,1.2,6.1,14.4,BYE,1.4,7.0,5.1,4.1,10.1,—,—,—,6.8,88.9
235,Emanuel Wilson   GB,RB,16,0.4,0.0,2.5,11.1,BYE,1.7,2.5,11.7,2.7,1.4,13.9,26.5,1.4,1.0,0.3,8.2,3.4,5.5,88.7
235,Darren Waller   MIA,TE,9,—,—,—,17.7,18.8,9.2,0.0,—,—,—,—,BYE,6.7,2.7,25.6,7.0,1.0,9.9,88.7
237,Ricky Pearsall   SF,WR,10,14.8,9.2,19.7,8.6,—,—,—,—,0.0,—,1.0,2.8,3.4,BYE,15.6,—,13.5,8.9,88.6
238,Nick Chubb   HOU,RB,15,6.0,15.2,7.0,8.2,12.1,BYE,2.1,8.9,3.4,6.2,1.7,2.5,9.4,0.3,—,5.2,0.1,5.9,88.3
239,Adonai Mitchell   NYJ,WR,15,4.1,4.0,0.0,10.6,0.0,—,1.8,0.0,1.7,—,2.0,6.2,24.2,3.4,17.4,7.3,5.2,5.9,87.9
240,Isiah Pacheco   KC,RB,13,4.8,3.9,5.8,12.8,8.6,6.1,12.4,5.8,—,BYE,—,—,5.3,3.0,2.1,13.5,3.2,6.7,87.3
241,Daniel Carlson   LV,K,16,11.0,12.0,4.0,6.0,6.0,10.0,0.0,BYE,5.0,1.0,11.0,5.0,2.0,6.0,0.0,3.0,5.0,5.4,87.0
242,Andrei Iosivas   CIN,WR,16,0.0,2.2,0.0,3.7,13.2,1.5,7.9,0.0,18.0,BYE,5.0,10.6,9.9,3.7,0.0,3.1,8.1,5.4,86.9
243,David Njoku   CLE,TE,12,6.7,8.0,9.0,3.1,18.7,5.8,—,13.7,BYE,10.1,1.7,0.0,2.4,7.1,—,—,—,7.2,86.3
244,Olamide Zaccheaus   CHI,WR,15,8.2,4.1,6.6,9.1,BYE,4.8,2.9,10.3,17.8,1.5,0.0,1.6,3.9,8.7,0.0,5.3,—,5.7,84.8
245,Xavier Hutchinson   HOU,WR,16,5.5,4.9,4.6,3.7,16.8,BYE,2.3,17.9,6.0,0.0,7.2,0.9,5.9,0.0,2.6,1.4,4.9,5.3,84.6
246,Xavier Legette   CAR,WR,14,4.0,0.8,—,—,11.1,3.1,24.2,3.7,3.2,0.0,18.3,5.2,1.1,BYE,5.9,2.2,1.3,6.0,84.1
247,KaVontae Turpin   DAL,WR,14,4.7,15.3,8.8,6.4,—,—,2.7,0.8,3.3,BYE,1.0,4.2,8.1,5.0,3.2,4.7,15.6,6.0,83.8
247,Jonnu Smith   PIT,TE,16,12.5,6.7,5.3,2.6,BYE,5.8,11.8,3.7,5.5,1.4,0.0,5.8,1.6,0.0,10.6,2.8,7.7,5.2,83.8
249,Sterling Shepard   TB,WR,13,6.9,7.4,12.0,4.0,11.9,7.1,7.5,1.8,BYE,6.1,10.1,4.2,1.5,1.5,—,—,—,6.3,82.0
250,Dylan Sampson   CLE,RB,14,17.3,10.9,0.2,-0.2,1.2,4.4,2.7,7.9,BYE,0.9,1.9,16.2,2.3,9.8,—,—,5.7,5.8,81.2
250,Chris Godwin Jr.   TB,WR,8,—,—,—,5.6,5.6,—,—,—,BYE,—,—,2.9,10.8,10.5,14.0,8.0,23.8,10.2,81.2
252,Kansas City Chiefs   KC,DST,16,3.0,3.0,12.0,8.0,7.0,2.0,13.0,10.0,2.0,BYE,2.0,1.0,1.0,4.0,7.0,2.0,4.0,5.1,81.0
253,Tyquan Thornton   KC,WR,14,6.1,13.9,18.1,8.1,12.0,0.0,4.9,0.0,0.0,BYE,7.1,0.0,0.0,3.9,6.7,—,—,5.8,80.8
253,Kyler Murray   ARI,QB,5,18.3,15.0,14.1,18.1,15.3,—,—,BYE,—,—,—,—,—,—,—,—,—,16.2,80.8
255,Ty Johnson   BUF,RB,16,2.4,0.6,3.1,0.0,1.0,2.6,BYE,0.6,10.0,4.6,15.0,8.2,5.5,5.9,5.8,7.6,7.8,5.0,80.7
256,Bhayshul Tuten   JAC,RB,14,1.1,15.4,8.1,3.2,2.1,4.8,2.2,BYE,9.6,2.0,13.4,1.7,8.9,-1.5,9.3,—,—,5.7,80.3
257,Arizona Cardinals   ARI,DST,16,5.0,13.0,6.0,5.0,7.0,2.0,1.0,BYE,15.0,6.0,-1.0,17.0,3.0,-4.0,-1.0,7.0,-1.0,5.0,80.0
257,Zane Gonzalez   ATL,K,8,—,—,—,—,BYE,—,—,—,—,6.0,12.0,15.0,8.0,10.0,6.0,10.0,13.0,10.0,80.0
259,Mike Evans   TB,WR,7,10.1,10.6,13.3,—,—,—,0.0,—,BYE,—,—,—,—,—,19.2,14.1,12.1,11.3,79.4
260,Darnell Mooney   ATL,WR,14,—,4.0,8.4,2.5,BYE,—,9.8,2.1,2.5,2.7,6.4,16.4,4.5,1.6,6.5,4.4,5.5,5.5,77.3
261,Chris Rodriguez Jr.   WAS,RB,12,—,—,3.9,5.9,0.7,0.0,7.2,0.2,12.5,7.6,9.5,BYE,10.1,5.2,—,13.9,—,6.4,76.7
262,Dontayvion Wicks   GB,WR,14,5.0,8.4,4.1,3.9,BYE,3.5,1.5,—,—,7.8,1.9,5.2,28.0,0.0,1.6,3.2,1.7,5.4,75.8
263,Carson Wentz   MIN,QB,5,—,—,15.3,23.2,14.7,BYE,13.3,8.8,—,—,—,—,—,—,—,—,—,15.1,75.3
263,Noah Fant   CIN,TE,14,12.6,5.8,5.6,—,0.0,6.7,14.4,7.1,10.8,BYE,6.6,1.9,1.3,2.5,0.0,—,0.0,5.4,75.3
265,Greg Dortch   ARI,WR,12,0.8,2.1,2.8,7.9,3.2,9.9,2.5,BYE,0.9,6.2,18.6,16.8,3.4,—,—,—,—,6.3,75.1
266,Green Bay Packers   GB,DST,16,10.0,5.0,8.0,-3.0,BYE,2.0,8.0,5.0,4.0,6.0,7.0,18.0,3.0,3.0,1.0,0.0,-3.0,4.6,74.0
267,Jalen Coker   CAR,WR,10,—,—,—,—,—,—,0.0,6.6,1.9,5.1,11.2,6.2,17.4,BYE,14.0,7.7,3.6,7.4,73.7
268,Darnell Washington   PIT,TE,16,0.0,2.0,0.0,5.0,BYE,9.2,9.2,0.0,8.3,2.5,10.7,4.2,6.5,2.2,5.5,4.6,3.5,4.6,73.4
269,Cole Kmet   CHI,TE,15,4.1,4.9,8.0,7.6,BYE,1.0,2.6,—,2.0,1.5,9.5,1.3,12.6,6.2,4.8,3.4,3.6,4.9,73.1
269,Isaac TeSlaa   DET,WR,16,8.3,3.9,0.0,0.0,8.2,0.0,0.0,BYE,0.0,2.1,0.0,0.0,11.5,10.0,0.0,15.2,13.9,4.6,73.1
271,Jake Moody   WAS,K,8,5.0,—,—,—,—,16.0,14.0,—,—,—,—,BYE,8.0,0.0,13.0,4.0,13.0,9.1,73.0
272,Dillon Gabriel   CLE,QB,10,—,4.8,—,0.0,16.1,8.8,5.8,13.5,BYE,20.1,2.9,—,0.0,—,—,0.0,—,7.2,72.1
273,New York Giants   NYG,DST,16,3.0,1.0,2.0,7.0,1.0,8.0,1.0,0.0,3.0,0.0,2.0,4.0,2.0,BYE,5.0,15.0,18.0,4.5,72.0
273,San Francisco 49ers   SF,DST,16,9.0,5.0,5.0,0.0,7.0,0.0,8.0,2.0,2.0,-3.0,6.0,9.0,11.0,BYE,0.0,12.0,-1.0,4.5,72.0
275,Calvin Austin III   PIT,WR,13,17.0,3.2,12.4,3.3,BYE,—,—,6.8,10.6,3.4,1.5,7.6,0.0,4.1,0.0,1.8,—,5.5,71.7
276,Tyler Lockett   LV,WR,16,0.0,2.9,7.7,0.0,7.6,1.0,3.8,BYE,0.0,9.4,6.3,10.2,2.1,7.1,3.0,1.6,8.9,4.5,71.6
277,Isaiah Davis   NYJ,RB,16,1.8,1.6,0.0,4.7,6.3,1.1,5.2,17.9,BYE,2.1,1.1,0.7,0.0,2.2,13.5,10.0,3.0,4.5,71.2
278,Jeremy McNichols   WAS,RB,16,2.5,0.0,13.8,1.3,2.8,6.5,6.5,11.8,0.0,3.9,4.9,BYE,5.0,1.2,1.2,5.2,4.0,4.4,70.6
279,JuJu Smith-Schuster   KC,WR,16,10.5,1.5,9.5,13.6,3.7,8.7,6.5,4.9,1.2,BYE,0.0,1.8,0.0,1.5,0.0,2.2,4.6,4.4,70.2
280,Washington Commanders   WAS,DST,16,9.0,2.0,11.0,2.0,13.0,5.0,-1.0,6.0,-2.0,-2.0,4.0,BYE,3.0,3.0,9.0,3.0,5.0,4.4,70.0
280,Van Jefferson   TEN,WR,16,0.0,3.0,1.8,1.6,0.0,11.5,8.1,1.6,3.1,BYE,11.2,2.1,5.0,3.7,5.3,4.4,7.6,4.4,70.0
282,Samaje Perine   CIN,RB,14,2.6,0.0,0.1,0.4,4.9,5.2,3.1,17.0,0.5,BYE,—,—,5.4,4.8,5.3,12.1,8.3,5.0,69.7
283,Matthew Golden   GB,WR,13,3.6,1.5,10.1,11.3,BYE,13.2,7.7,3.4,2.9,—,3.4,—,—,0.0,8.5,0.4,2.2,5.2,68.2
284,Pat Bryant   DEN,WR,14,0.0,3.8,0.0,0.0,0.0,4.2,1.6,12.0,4.0,5.3,13.2,BYE,7.2,7.2,—,9.2,—,4.8,67.7
285,Mike Gesicki   CIN,TE,12,2.4,4.8,1.6,1.8,3.5,0.0,—,—,—,BYE,—,7.5,3.9,20.6,2.1,12.5,6.7,5.6,67.4
286,Cincinnati Bengals   CIN,DST,16,7.0,5.0,-1.0,1.0,2.0,3.0,3.0,-4.0,6.0,BYE,1.0,10.0,12.0,4.0,7.0,6.0,5.0,4.2,67.0
286,DeAndre Hopkins   BAL,WR,16,11.5,14.4,2.3,0.0,6.6,4.0,BYE,2.4,0.0,3.6,2.1,3.3,4.5,0.0,4.2,8.1,0.0,4.2,67.0
286,Harrison Mevis   LAR,K,8,—,—,—,—,—,—,—,BYE,—,6.0,3.0,13.0,4.0,9.0,12.0,14.0,6.0,8.4,67.0
286,Davis Mills   HOU,QB,5,—,—,—,—,1.2,BYE,—,—,6.2,28.7,16.4,14.5,—,—,—,—,—,13.4,67.0
290,John Metchie III   NYJ,WR,15,0.0,1.0,1.8,3.0,0.0,0.0,—,0.0,BYE,0.6,13.5,18.5,5.7,7.4,6.9,1.4,7.1,4.5,66.9
291,Devaughn Vele   NO,WR,13,2.3,7.3,—,0.0,3.3,0.0,0.0,2.0,0.0,2.5,BYE,6.7,23.3,7.0,11.9,—,—,5.1,66.3
292,Jaylin Noel   HOU,WR,16,1.7,0.0,1.4,1.0,9.8,BYE,11.7,11.3,-0.3,7.5,2.2,1.9,0.0,3.3,0.0,0.0,14.6,4.1,66.1
292,Michael Mayer   LV,TE,12,7.8,2.9,0.0,—,—,16.0,2.0,BYE,5.6,5.2,4.3,2.4,—,—,0.0,2.0,17.9,5.5,66.1
294,Justice Hill   BAL,RB,10,-0.1,5.5,7.5,28.7,2.2,9.4,BYE,0.2,3.5,8.3,—,0.0,—,—,—,—,—,6.5,65.2
295,Tory Horton   SEA,WR,8,0.0,11.2,18.2,2.0,12.9,0.0,0.0,BYE,20.8,—,—,—,—,—,—,—,—,8.1,65.1
296,Tre' Harris   LAC,WR,16,2.1,5.4,0.0,0.0,0.0,6.7,4.3,8.8,3.8,2.4,2.2,BYE,6.0,3.1,7.9,9.4,2.5,4.0,64.6
297,Tyrod Taylor   NYJ,QB,6,—,8.3,17.7,—,—,—,4.1,—,BYE,—,—,13.8,21.3,-0.8,—,—,—,10.7,64.5
298,Travis Hunter   JAC,WR,7,9.3,5.2,3.1,7.2,9.4,5.5,24.1,BYE,—,—,—,—,—,—,—,—,—,9.1,63.8
299,Davis Allen   LAR,TE,16,8.3,7.8,1.3,1.0,4.4,1.7,1.4,BYE,6.7,8.8,0.0,5.9,1.4,4.1,4.6,5.4,0.0,3.9,62.8
300,Michael Badgley   BUF,K,9,—,—,—,—,—,8.0,6.0,9.0,12.0,8.0,—,8.0,5.0,—,—,6.0,0.0,6.9,62.0
301,Brian Robinson Jr.   SF,RB,16,4.7,2.9,2.2,2.1,1.2,3.8,3.6,0.0,11.3,11.5,2.4,5.4,2.6,BYE,2.1,2.0,3.8,3.8,61.6
302,Devin Neal   NO,RB,9,0.9,—,—,—,—,—,0.1,4.1,2.2,6.1,BYE,11.1,9.9,15.4,10.2,—,—,6.7,60.0
